Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-June-2023,92.01,97.00,89.09,95.14,93.136300132204113914,346434,2447,32265581.00,219319,63.31,7.91,3.13
16-June-2023,84.30,86.70,83.00,83.81,84.512126082223028669,96445,282,8150772.00,57974,60.11,3.70,-0.49
15-June-2023,86.40,86.40,83.29,84.50,85.430323390132351155,24707,141,2110727.00,20956,84.82,3.11,-1.90
14-June-2023,86.00,86.90,83.80,85.42,85.300000000000000000,35030,225,2988059.00,28748,82.07,3.10,-0.58
13-June-2023,85.16,86.99,83.55,84.68,85.141206841356010707,146813,664,12499836.00,118482,80.70,3.44,-0.48
12-June-2023,76.51,80.00,76.51,79.94,79.487364726528224627,34190,183,2717673.00,29053,84.98,3.49,3.43
9-June-2023,77.50,79.79,76.90,77.14,77.653603454001992693,15055,164,1169075.00,12148,80.69,2.89,-0.36
8-June-2023,79.00,80.00,77.53,78.17,79.376547285030533091,12118,114,961885.00,8941,73.78,2.47,-0.83
7-June-2023,78.29,79.40,77.11,78.73,78.260073779795686719,14096,155,1103154.00,10499,74.48,2.29,0.44
6-June-2023,79.47,79.47,76.80,77.21,77.524532203729028384,29981,138,2324263.00,28763,95.94,2.67,-2.26
5-June-2023,77.46,79.49,77.46,78.07,78.258268084609091971,17114,116,1339312.00,14610,85.37,2.03,0.61
2-June-2023,78.10,79.98,77.00,77.45,77.713272446922073300,42155,282,3276003.00,38258,90.76,2.98,-0.65
1-June-2023,81.00,81.65,77.60,78.46,78.752203704040275531,55021,323,4333025.00,42250,76.79,4.05,-2.54
31-May-2023,80.50,83.00,77.00,79.14,79.426085103360090928,56308,397,4472324.00,45199,80.27,6.00,-1.36
30-May-2023,81.98,85.50,80.50,83.58,83.441102545503618360,59281,275,4946472.00,49127,82.87,5.00,1.60
29-May-2023,81.00,85.00,79.00,80.32,81.924712957900492072,54870,291,4495209.00,38596,70.34,6.00,-0.68
26-May-2023,82.90,82.90,80.00,80.91,81.354594157485090468,9893,92,804841.00,6486,65.56,2.90,-1.99
25-May-2023,79.88,84.00,77.80,80.49,81.633077502363365432,62411,322,5094802.00,32728,52.44,6.20,0.61
24-May-2023,77.60,78.99,73.61,78.86,77.066732013330719466,102020,367,7862348.00,36626,35.90,5.38,1.26
23-May-2023,78.37,78.37,72.50,75.90,75.953246411168181219,15186,233,1153426.00,11583,76.27,5.87,-2.47
22-May-2023,77.31,79.29,75.20,76.97,76.778320923094412550,17593,198,1350761.00,13390,76.11,4.09,-0.34
19-May-2023,78.94,79.40,76.05,77.95,77.918005671077504725,8464,135,659498.00,5243,61.94,3.35,-0.99
18-May-2023,80.24,80.78,74.90,76.19,77.926379489383034339,27927,301,2176250.00,16850,60.34,5.88,-4.05
17-May-2023,81.45,81.45,79.02,79.70,79.921664464993394980,22710,142,1815021.00,13876,61.10,2.43,-1.75
16-May-2023,77.35,82.80,77.35,79.52,79.816693668151748346,29628,179,2364809.00,13681,46.18,5.45,2.17
15-May-2023,79.05,81.19,77.50,78.30,79.069473947269773834,16006,205,1265586.00,13528,84.52,3.69,-0.75
12-May-2023,80.00,81.00,78.50,79.05,79.650227750525578135,22832,212,1818574.00,20131,88.17,2.50,-0.95
11-May-2023,81.10,82.00,79.00,80.54,80.776974849450938717,14115,149,1140167.00,10158,71.97,3.00,-0.56
10-May-2023,81.11,83.00,80.11,81.01,81.216988387295239560,26006,162,2112129.00,20736,79.74,2.89,-0.10
9-May-2023,83.30,83.30,81.05,81.52,81.671963677639046538,11453,118,935389.00,8909,77.79,2.25,-1.78
8-May-2023,81.82,83.00,81.82,82.14,82.563050050386294927,14885,119,1228951.00,11241,75.52,1.18,0.32
5-May-2023,83.80,83.80,81.00,81.77,82.398543115894474340,15238,151,1255589.00,10593,69.52,2.80,-2.03
4-May-2023,81.01,83.30,81.01,82.96,82.746041899888053734,6253,89,517411.00,5401,86.37,2.29,1.95
3-May-2023,84.95,86.10,81.25,81.92,83.420136074472527202,40713,234,3396284.00,32566,79.99,4.85,-3.03
2-May-2023,83.89,84.50,82.00,82.98,84.056550040683482506,12290,125,1033055.00,10955,89.14,2.50,-0.91
28-April-2023,82.99,85.00,81.40,83.25,83.353305112341256919,15355,144,1279890.00,10165,66.20,3.60,0.26
27-April-2023,81.12,82.00,81.12,81.50,81.504441734889392091,11482,84,935834.00,11396,99.25,0.88,0.38
26-April-2023,81.10,82.85,81.00,81.79,81.669811320754716981,16854,123,1376463.00,13826,82.03,1.85,0.69
25-April-2023,81.25,83.50,81.25,81.72,82.426833663723193368,11098,106,914773.00,9724,87.62,2.25,0.47
24-April-2023,83.50,83.50,81.00,81.27,81.481754385964912280,5700,92,464446.00,5481,96.16,2.50,-2.23
21-April-2023,81.00,84.00,81.00,82.01,82.215233698788228505,8665,95,712395.00,6247,72.09,3.00,1.01
20-April-2023,82.50,84.89,80.00,81.66,82.034834045349983568,18258,164,1497792.00,15359,84.12,4.89,-0.84
19-April-2023,85.00,86.49,82.90,83.37,83.895460797799174690,13086,136,1097856.00,12200,93.23,3.59,-1.63
18-April-2023,87.20,87.20,83.00,85.07,85.600052120174230296,26861,217,2299303.00,22879,85.18,4.20,-2.13
17-April-2023,85.50,86.00,84.51,85.37,85.147017882000214155,9339,89,795188.00,8372,89.65,1.49,-0.13
13-April-2023,85.01,87.50,84.10,85.45,85.001059029376554010,21718,132,1846053.00,18314,84.33,3.40,0.44
12-April-2023,87.50,87.50,84.75,86.51,85.759979037470521442,11449,84,981866.00,8910,77.82,2.75,-0.99
11-April-2023,84.00,87.00,81.65,86.45,84.905559890091251399,29479,201,2502931.00,21805,73.97,5.35,2.45
