Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-August-2024,87.05,89.00,86.00,88.37,88.041532634756717702,217299,720,19131337.00,123494,56.83,3.00,1.32
21-August-2024,86.93,86.93,83.02,85.78,85.881370305969921600,163905,676,14076386.00,90558,55.25,3.91,-1.15
20-August-2024,80.27,84.33,80.27,83.87,82.944630131802989216,190284,521,15783036.00,139888,73.52,4.06,3.60
19-August-2024,83.30,83.30,80.00,80.32,80.759630330949891190,35383,312,2857518.00,23808,67.29,3.30,-2.98
16-August-2024,81.25,83.99,79.20,80.07,81.614482020165967698,44828,333,3658614.00,34835,77.71,4.79,-1.18
14-August-2024,83.50,85.00,79.02,80.04,82.322853023958261824,101969,538,8394379.00,72686,71.28,5.98,-3.46
13-August-2024,81.00,86.00,79.80,83.27,83.313529422862856819,265015,1017,22079335.00,145601,54.94,6.20,2.27
12-August-2024,79.20,83.88,79.00,81.44,81.872572094842195217,276164,1010,22610257.00,170962,61.91,4.88,2.24
9-August-2024,79.80,81.15,76.20,80.52,79.700933412335497036,376361,1315,29996323.00,218228,57.98,4.95,0.72
8-August-2024,71.29,78.00,70.50,77.15,76.133440413802490982,367325,1548,27965716.00,235891,64.22,7.50,5.86
7-August-2024,64.11,72.60,63.00,70.27,69.897843600187434668,221944,1021,15513407.00,125117,56.37,9.60,6.16
6-August-2024,67.30,67.30,63.51,64.09,64.994447635458548726,31338,390,2036796.00,23640,75.44,3.79,-3.21
5-August-2024,58.00,66.70,58.00,64.18,64.017578696542786672,47842,717,3062729.00,,,8.70,6.18
2-August-2024,68.47,68.57,67.10,67.50,67.751839751839751839,30303,312,2053084.00,25514,84.20,1.47,-0.97
1-August-2024,67.12,68.97,67.12,68.47,68.077746847879482560,30535,317,2078754.00,25036,81.99,1.85,1.35
31-July-2024,67.35,68.98,66.70,68.37,67.871934786225253701,30055,361,2039891.00,22796,75.85,2.28,1.02
30-July-2024,68.50,69.90,67.10,68.44,68.182121385000219423,22787,333,1553666.00,16907,74.20,2.80,-0.06
29-July-2024,70.99,70.99,68.00,68.88,69.095990929990867004,31753,401,2194005.00,25286,79.63,2.99,-2.11
26-July-2024,68.48,69.87,67.25,69.61,68.654530807922037095,101792,316,6988482.00,95994,94.30,2.62,1.13
25-July-2024,68.00,68.99,66.51,67.23,67.578277559876491696,23966,369,1619581.00,17485,72.96,2.48,-0.77
