Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2023,86.50,134.70,72.50,117.15,11186746,90991,1151850256.00,8274520,73.97,62.20,30.65,
2024,118.00,180.00,58.00,94.58,15672669,138386,1528501357.00,11407596,72.79,122.00,-23.42,
